ux uy uz
0.00000000e+00 9.06409661e+01 5.80385334e-12
0.00000000e+00 3.39601514e+01 1.05585583e-11
0.00000000e+00 -2.29604522e+01 1.14155678e-11
0.00000000e+00 -7.94246008e+01 7.32312055e-12
0.00000000e+00 -1.34739190e+02 1.02814359e-12
0.00000000e+00 -1.88222127e+02 -2.97333992e-12
0.00000000e+00 -2.39209988e+02 -1.93265063e-12
0.00000000e+00 -2.87065350e+02 3.10183900e-12
0.00000000e+00 -3.31183670e+02 8.16535349e-12
0.00000000e+00 -3.70999623e+02 9.29375490e-12
0.00000000e+00 -4.05992743e+02 5.44059129e-12
0.00000000e+00 -4.35692286e+02 -6.42234304e-13
0.00000000e+00 -4.59681145e+02 -4.45415181e-12
0.00000000e+00 -4.77598710e+02 -3.24236942e-12
0.00000000e+00 -4.89142513e+02 1.94845702e-12
0.00000000e+00 -4.94068476e+02 7.15692776e-12
0.00000000e+00 -4.92189615e+02 8.42199228e-12
0.00000000e+00 -4.83372967e+02 4.70003268e-12
0.00000000e+00 -4.67534566e+02 -1.25446898e-12
0.00000000e+00 -4.44632315e+02 -4.93868486e-12
0.00000000e+00 -4.14656745e+02 -3.59806440e-12
0.00000000e+00 -3.77620055e+02 1.72362707e-12
0.00000000e+00 -3.33544659e+02 7.06431453e-12
0.00000000e+00 -2.82454349e+02 8.45945080e-12
0.00000000e+00 -2.24374922e+02 4.85690708e-12
0.00000000e+00 -1.59358557e+02 -1.00608942e-12
0.00000000e+00 -8.75597919e+01 -4.65885938e-12
0.00000000e+00 -9.41378568e+00 -3.40357932e-12
0.00000000e+00 7.40013143e+01 1.62058273e-12
0.00000000e+00 1.60314635e+02 6.29995198e-12
0.00000000e+00 2.44878508e+02 6.44828415e-12
0.00000000e+00 3.19695445e+02 7.32770235e-13
0.00000000e+00 3.73210740e+02 -8.36707444e-12
0.00000000e+00 3.92765749e+02 -1.63977645e-11
0.00000000e+00 3.70858695e+02 -2.00658473e-11
0.00000000e+00 3.12257242e+02 -1.89551893e-11
0.00000000e+00 1.51801696e+02 9.91334637e+01
0.00000000e+00 1.18209189e+02 9.25281730e+01
0.00000000e+00 8.11317502e+01 8.59604233e+01
0.00000000e+00 3.67358098e+01 8.08693259e+01
0.00000000e+00 -1.66281393e+01 7.69145438e+01
0.00000000e+00 -7.64725585e+01 7.33962520e+01
0.00000000e+00 -1.38601021e+02 6.98795854e+01
0.00000000e+00 -1.99729899e+02 6.63305885e+01
0.00000000e+00 -2.58031671e+02 6.29695733e+01
0.00000000e+00 -3.12486515e+02 6.00782759e+01
0.00000000e+00 -3.62270763e+02 5.78690651e+01
0.00000000e+00 -4.06549971e+02 5.64357195e+01
0.00000000e+00 -4.44520731e+02 5.57629888e+01
0.00000000e+00 -4.75499306e+02 5.57606263e+01
0.00000000e+00 -4.98970397e+02 5.62963692e+01
0.00000000e+00 -5.14593778e+02 5.72178326e+01
0.00000000e+00 -5.22190906e+02 5.83645226e+01
0.00000000e+00 -5.21727785e+02 5.95749820e+01
0.00000000e+00 -5.13300108e+02 6.06929745e+01
0.00000000e+00 -4.97120961e+02 6.15741366e+01
0.00000000e+00 -4.73509857e+02 6.20927861e+01
0.00000000e+00 -4.42882173e+02 6.21479799e+01
0.00000000e+00 -4.05738652e+02 6.16680735e+01
0.00000000e+00 -3.62654962e+02 6.06134287e+01
0.00000000e+00 -3.14271399e+02 5.89772484e+01
0.00000000e+00 -2.61282815e+02 5.67846984e+01
0.00000000e+00 -2.04428796e+02 5.40905357e+01
0.00000000e+00 -1.44484092e+02 5.09754688e+01
0.00000000e+00 -8.22492642e+01 4.75414711e+01
0.00000000e+00 -1.85415286e+01 4.39062731e+01
0.00000000e+00 4.58142379e+01 4.01972770e+01
0.00000000e+00 1.09994340e+02 3.65451571e+01
0.00000000e+00 1.73184968e+02 3.30774252e+01
0.00000000e+00 2.34590759e+02 2.99122432e+01
0.00000000e+00 2.93443191e+02 2.71527572e+01
0.00000000e+00 3.49008780e+02 2.48822062e+01
0.00000000e+00 4.00597020e+02 2.31600184e+01
0.00000000e+00 4.47567997e+02 2.20190708e+01
0.00000000e+00 4.89339592e+02 2.14642268e+01
0.00000000e+00 5.25394155e+02 2.14722133e+01
0.00000000e+00 5.55284568e+02 2.19928354e+01
0.00000000e+00 5.78639551e+02 2.29514641e+01
0.00000000e+00 5.95168129e+02 2.42526765e+01
0.00000000e+00 6.04663138e+02 2.57848725e+01
0.00000000e+00 6.07003695e+02 2.74256473e+01
0.00000000e+00 6.02156570e+02 2.90476660e+01
0.00000000e+00 5.90176414e+02 3.05247600e+01
0.00000000e+00 5.71204841e+02 3.17379580e+01
0.00000000e+00 5.45468372e+02 3.25811664e+01
0.00000000e+00 5.13275294e+02 3.29662289e+01
0.00000000e+00 4.75011495e+02 3.28271292e+01
0.00000000e+00 4.31135368e+02 3.21231338e+01
0.00000000e+00 3.82171889e+02 3.08407306e+01
0.00000000e+00 3.28705968e+02 2.89942682e+01
0.00000000e+00 2.71375194e+02 2.66252680e+01
0.00000000e+00 2.10862093e+02 2.38004398e+01
0.00000000e+00 1.47885977e+02 2.06084983e+01
0.00000000e+00 8.31945084e+01 1.71559298e+01
0.00000000e+00 1.75550366e+01 1.35619107e+01
0.00000000e+00 -4.82542012e+01 9.95262238e+00
0.00000000e+00 -1.13452959e+02 6.45523030e+00
0.00000000e+00 -1.77267877e+02 3.19181644e+00
0.00000000e+00 -2.38941327e+02 2.73553410e-01
0.00000000e+00 -2.97740156e+02 -2.20460211e+00
0.00000000e+00 -3.52964234e+02 -4.16844374e+00
0.00000000e+00 -4.03954751e+02 -5.56806193e+00
0.00000000e+00 -4.50102149e+02 -6.38023389e+00
