ux uy uz
0.00000000e+00 2.26602415e+01 5.80385334e-12
0.00000000e+00 8.49003785e+00 1.05585583e-11
0.00000000e+00 -5.74011305e+00 1.14155678e-11
0.00000000e+00 -1.98561502e+01 7.32312055e-12
0.00000000e+00 -3.36847974e+01 1.02814359e-12
0.00000000e+00 -4.70555316e+01 -2.97333992e-12
0.00000000e+00 -5.98024970e+01 -1.93265063e-12
0.00000000e+00 -7.17663374e+01 3.10183900e-12
0.00000000e+00 -8.27959176e+01 8.16535349e-12
0.00000000e+00 -9.27499057e+01 9.29375490e-12
0.00000000e+00 -1.01498186e+02 5.44059129e-12
0.00000000e+00 -1.08923071e+02 -6.42234304e-13
0.00000000e+00 -1.14920286e+02 -4.45415181e-12
0.00000000e+00 -1.19399678e+02 -3.24236942e-12
0.00000000e+00 -1.22285628e+02 1.94845702e-12
0.00000000e+00 -1.23517119e+02 7.15692776e-12
0.00000000e+00 -1.23047404e+02 8.42199228e-12
0.00000000e+00 -1.20843242e+02 4.70003268e-12
0.00000000e+00 -1.16883641e+02 -1.25446898e-12
0.00000000e+00 -1.11158079e+02 -4.93868486e-12
0.00000000e+00 -1.03664186e+02 -3.59806440e-12
0.00000000e+00 -9.44050137e+01 1.72362707e-12
0.00000000e+00 -8.33861648e+01 7.06431453e-12
0.00000000e+00 -7.06135872e+01 8.45945080e-12
0.00000000e+00 -5.60937305e+01 4.85690708e-12
0.00000000e+00 -3.98396392e+01 -1.00608942e-12
0.00000000e+00 -2.18899480e+01 -4.65885938e-12
0.00000000e+00 -2.35344642e+00 -3.40357932e-12
0.00000000e+00 1.85003286e+01 1.62058273e-12
0.00000000e+00 4.00786588e+01 6.29995198e-12
0.00000000e+00 6.12196270e+01 6.44828415e-12
0.00000000e+00 7.99238614e+01 7.32770235e-13
0.00000000e+00 9.33026850e+01 -8.36707444e-12
0.00000000e+00 9.81914372e+01 -1.63977645e-11
0.00000000e+00 9.27146738e+01 -2.00658473e-11
0.00000000e+00 7.80643104e+01 -1.89551893e-11
0.00000000e+00 3.85704600e+01 6.25956149e+00
0.00000000e+00 3.01129546e+01 5.84666936e+00
0.00000000e+00 2.06784361e+01 5.43203427e+00
0.00000000e+00 9.37606470e+00 5.10950951e+00
0.00000000e+00 -4.19598050e+00 4.85792502e+00
0.00000000e+00 -1.93949380e+01 4.63380357e+00
0.00000000e+00 -3.51557657e+01 4.41030427e+00
0.00000000e+00 -5.06501554e+01 4.18544571e+00
0.00000000e+00 -6.54181306e+01 3.97300212e+00
0.00000000e+00 -7.92024472e+01 3.79059040e+00
0.00000000e+00 -9.17951127e+01 3.65151685e+00
